"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 21:34:05:382 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"6","3","1","1","4","5000","4","523","2920","1212","2186","63","2120","66","956","494","736","31","2542","2458","1195","1263"
"4","3","1","1","4","5000","4","523","2920","1132","2002","63","1956","46","907","471","624","24","2527","2473","1298","1175"
"2","3","1","1","4","5000","4","523","2920","1177","2044","63","1979","65","902","475","667","31","2526","2474","1260","1214"
"9","3","1","1","4","5000","4","523","2920","1089","1939","63","1877","62","894","418","627","31","2552","2448","1218","1230"
"16","3","1","1","4","5000","4","523","2920","1085","2007","63","1927","80","933","419","655","32","2518","2482","1254","1228"
"15","3","1","1","4","5000","4","523","2920","1164","2098","63","2020","78","932","481","685","31","2498","2502","1239","1263"
"3","3","1","1","4","5000","4","523","2920","1241","2241","63","2158","83","986","500","755","31","2506","2494","1214","1280"
"13","3","1","1","4","5000","4","523","2920","1164","2092","63","2013","79","959","464","669","30","2527","2473","1253","1220"
"8","3","1","1","4","5000","4","523","2920","1120","2004","63","1937","67","862","485","657","29","2431","2569","1337","1232"
"12","3","1","1","4","5000","4","523","3650","1619","2578","63","2563","15","1165","577","836","37","2512","2488","1257","1231"
"11","3","1","1","4","5000","4","523","3650","1584","2481","63","2442","39","1124","581","776","34","2551","2449","1247","1202"
"7","3","1","1","4","5000","4","523","2920","1151","2046","63","1956","90","920","470","656","22","2511","2489","1292","1197"
