"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"drug-tendency"
"02/27/2024 18:25:17:705 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"4","3","0","1","4","5000","4","523","3650","1611","2526","0","2495","31","1140","575","811","0","2498","2502","1245","1257"
"15","3","0","1","4","5000","4","523","4015","1850","2763","0","2751","12","1290","602","871","0","2523","2477","1254","1223"
"10","3","0","1","4","5000","4","523","3650","1671","2614","0","2586","28","1150","616","848","0","2476","2524","1264","1260"
"11","3","0","1","4","5000","4","523","3650","1655","2598","0","2554","44","1209","547","842","0","2560","2440","1212","1228"
"2","3","0","1","4","5000","4","523","2920","1131","2044","0","1965","79","921","458","665","0","2510","2490","1235","1255"
"9","3","0","1","4","5000","4","523","3650","1632","2644","0","2610","34","1179","597","868","0","2426","2574","1293","1281"
"8","3","0","1","4","5000","4","523","3650","1644","2665","0","2619","46","1215","601","849","0","2493","2507","1254","1253"
"5","3","0","1","4","5000","4","523","3285","1365","2359","0","2299","60","1099","514","746","0","2546","2454","1230","1224"
"6","3","0","1","4","5000","4","523","4015","1791","2758","0","2735","23","1257","629","872","0","2500","2500","1269","1231"
"14","3","0","1","4","5000","4","523","3650","1542","2450","0","2426","24","1087","579","784","0","2498","2502","1249","1253"
"16","3","0","1","4","5000","4","523","3650","1602","2491","0","2463","28","1116","584","791","0","2530","2470","1242","1228"
"1","3","0","1","4","5000","4","523","3650","1662","2619","0","2583","36","1197","586","836","0","2533","2467","1222","1245"
"3","3","0","1","4","5000","4","523","4015","1812","2816","0","2810","6","1233","665","918","0","2464","2536","1274","1262"
"12","3","0","1","4","5000","4","523","4015","1728","2678","0","2649","29","1205","626","847","0","2531","2469","1273","1196"
"7","3","0","1","4","5000","4","523","3650","1627","2598","0","2567","31","1194","564","840","0","2550","2450","1196","1254"
"13","3","0","1","4","5000","4","523","3285","1391","2390","0","2355","35","1059","537","794","0","2398","2602","1318","1284"
"4","3","0","1","4","5000","4","523","4015","1831","2777","0","2756","21","1256","632","889","0","2498","2502","1245","1257"
"15","3","0","1","4","5000","4","523","4380","2077","2979","0","2969","10","1398","652","929","0","2523","2477","1254","1223"
"10","3","0","1","4","5000","4","523","4015","1864","2889","0","2867","22","1268","692","929","0","2476","2524","1264","1260"
"11","3","0","1","4","5000","4","523","4015","1866","2871","0","2840","31","1341","613","917","0","2560","2440","1212","1228"
"9","3","0","1","4","5000","4","523","4015","1861","2924","0","2901","23","1308","665","951","0","2426","2574","1293","1281"
"8","3","0","1","4","5000","4","523","4015","1899","2890","0","2870","20","1315","660","915","0","2493","2507","1254","1253"
